BAR NUMBER;TIME SIGNATURE;DIVISION;TEMPO;REHEARSAL MARKING;TEXT MARKING
411;;;;;
412;;;;;
413;4/4;;56;413;Cantabile
414;;;;;
415;;;;;
416;;;;;
417;;;;;
418;;;;;
419;;;;;
420;;;;;
421;;;;;
422;;;;;
423;;;;;
424;;;;;
425;;;;425;
426;;;;;
427;;;;;
428;;;;;
429;;;;;
430;;;;;
431;;;;;
432;;;;;
433;;;;;
434;;;;;
435;;;;;
436;;;;;
437;;;;437;
438;;;;;
439;;;;;
440;;;;;
441;;;;;
442;;;;;
443;;;;;
444;;;;;
445;;;;445;
446;;;;;
447;;;;;
448;;;;;
449;;;;449;
450;;;;;
451;;;;;
452;;;rit;;
453;;;52;;
454;;;;;
455;;;;;
456;;;;;
457;;;;;
